WSI,FULL_NAME,LAT,LON,ELEVATION,DIST_KM,BEGIN_DATE,END_DATE,API30,BO,C-C1Av,C-C1Co,C-C1Mn,C-C1Mx,C-C2Av,C-C2Co,C-C2Mn,C-C2Mx,C-C3Av,C-C3Co,C-C3Mn,C-C3Mx,C-H1Av,C-H1Co,C-H1Mn,C-H1Mx,C-H2Av,C-H2Co,C-H2Mn,C-H2Mx,C-H3Av,C-H3Co,C-H3Mn,C-H3Mx,C-I1Co,C-I1Md,C-I1Su,C-I2Co,C-I2Md,C-I2Su,C-I3Co,C-I3Md,C-I3Su,C-MLAv,C-MLI,Casmax,D,D10,DE,Dmax,Dprum,E,F,Fmax,Fprum,Gph850,Gph925,H,JI,KR,LE,ML,MS,N,NA,P,P_hm,RDIF10,RDIF1H,RDIR1H,REUV10,REUV1H,RGLB10,RGLB1H,RGLB_D,RLWD1H,RO,SCE,SCEa,SCEdif,SN,SNO,SRA,SRA10M,SRA1H,SSV,SSV10M,SSV1H,SV,SVH,SVHa,T,T05,T10,T100,T20,T50,TMA,TMI,TMInoc,TPM,Td,VV,VY,W1,W2,ppp,ww
0-20000-0-11603,Liberec,50.77,15.02417,397.7,13.952185034790944,2000-01-01T00:00:00Z,2001-05-20T23:59:00Z,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0-20000-0-11603,Liberec,50.77,15.02417,397.7,13.952185034790944,2001-05-21T00:00:00Z,2010-11-09T23:59:00Z,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0-20000-0-11603,Liberec,50.76972,15.02389,397.72,13.963397941404544,2013-01-01T00:00:00Z,3999-12-31T23:59:00Z,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0-20000-0-11603,Liberec,50.76972,15.02389,397.7,13.963397941404544,2010-11-10T00:00:00Z,2012-12-31T23:59:00Z,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0-203-0-11403005001,Křižany,50.7406,14.9094,405.0,13.973533155161856,2002-09-01T00:00:00Z,2005-07-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-11552,Jablonné v Podještědí,50.7694,14.7681,320.0,14.015633300425494,1949-10-01T00:00:00Z,1954-07-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
0-203-0-20410022001,Višňová,50.96594,15.01814,248.0,14.0179615549397,2008-09-09T00:00:00Z,3999-12-31T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-20410022001,Višňová,50.9658,15.0186,248.0,14.025325192069108,2000-04-01T00:00:00Z,2008-09-08T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-203-0-11403005001,Křižany,50.74006,14.90789,405.0,14.026871766734557,2005-08-01T00:00:00Z,2016-11-28T23:59:00Z,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0-20000-0-11603,Liberec,50.7692,15.025,398.0,14.057845003434112,1941-01-01T00:00:00Z,1950-12-31T23:59:00Z,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
