Fin__TCb3_-_SegKraj_PL__projected_18723.tif,223.000,223.000
Fin__TCb3_-_SegKraj_PL__projected_18724.tif,223.000,223.000
Fin__TCb3_-_SegRybarz_1__projected.tif,201.011,208.222
Fin__TCb3_-_SegRybarz__projected.tif,169.404,239.608
Fin__TCb3_-_SegTrVych__projected.tif,211.916,234.046
Fin__TMw_-_SegHradek__projected.tif,-14.319,213.660
Fin__TMw_-_SegHrast_Old__projected.tif,52.703,119.030
Fin__TMw_-_SegHrast_Uhl__projected.tif,92.887,287.651
Fin__TMw_-_SegHrast_Uhl_Rampa__projected.tif,90.143,197.701
Fin__TMw_-_SegKraj_CZ__projected.tif,227.629,274.780
Fin__TMw_-_SegKraj_PL__projected.tif,170.833,256.813
Fin__TMw_-_SegRampa__projected.tif,149.153,171.743
Fin__TMw_-_SegRybarz_1__projected.tif,65.057,110.763
Fin__TMw_-_SegRybarz__projected.tif,8.764,286.704
Fin__TMw_-_SegTrVych__projected.tif,112.029,156.427
Fin__TNg_-_SegHradek__projected_18692.tif,239.109,256.676
Fin__TNg_-_SegHradek__projected_18693.tif,213.992,225.820
Fin__TNg_-_SegHradek__projected_18695.tif,217.401,292.330
Fin__TNg_-_SegHrast_Old__projected.tif,211.949,249.414
Fin__TNg_-_SegHrast_Uhl__projected.tif,245.208,255.807
Fin__TNg_-_SegHrast_Uhl_Rampa__projected.tif,221.783,229.443
Fin__TNg_-_SegKraj_CZ__projected.tif,268.704,289.529
Fin__TNg_-_SegKraj_PL__projected_18717.tif,228.000,228.000
Fin__TNg_-_SegKraj_PL__projected_18718.tif,228.000,228.000
Fin__TNg_-_SegRybarz_1__projected_18698.tif,206.343,214.042
Fin__TNg_-_SegRybarz_1__projected_18708.tif,206.343,214.042
Fin__TNg_-_SegRybarz__projected_18699.tif,171.560,245.071
Fin__TNg_-_SegRybarz__projected_18709.tif,171.560,245.071
Fin__TNg_-_SegTrVych__projected.tif,218.893,235.910
Fin__TNw_-_SegHradek__projected.tif,144.069,261.213
Fin__TNw_-_SegHrast_Old__projected.tif,162.586,217.923
Fin__TNw_-_SegHrast_Uhl__projected_18700.tif,259.966,271.419
Fin__TNw_-_SegHrast_Uhl__projected_18705.tif,173.132,254.636
Fin__TNw_-_SegHrast_Uhl_Rampa__projected.tif,162.297,227.077
Fin__TNw_-_SegKraj_CZ__projected.tif,241.752,264.871
Fin__TNw_-_SegKraj_PL__projected_18721.tif,210.926,256.086
Fin__TNw_-_SegKraj_PL__projected_18722.tif,222.817,247.424
Fin__TNw_-_SegRampa__projected.tif,226.997,276.963
Fin__TNw_-_SegRybarz_1__projected.tif,148.967,182.999
Fin__TNw_-_SegRybarz__projected.tif,46.626,271.706
Fin__TNw_-_SegTrVych__projected.tif,160.178,201.906
