ID_GDO_Well_Name	X	Y	Z_asl	Vertical_Well_Length_ne_MD
JB_CZ_18	-698045.55	-963576.35	297.16	1.7
JB_CZ_19	-698036.25	-963575.46	299.07	2.4
JB_CZ_20	-697883.63	-963557.65	296.45	3.5
JB_CZ_21	-697615.29	-963802	304.22	3.6
JB_CZ_22	-697610.86	-963796.4	300.86	3.6
JB_CZ_23	-697554.17	-964021.46	304	3.6
JB_CZ_24	-697560.84	-964020.8	306.6	3.4
JB_CZ_25	-697571.63	-964021.3	308.5	3.2
JB_CZ_26	-698029.86	-963574.44	302.5	3.4
JB_CZ_27	-697813.9	-963754.6	320.85	15
JB_CZ_28	-698538.98	-964648.12	319.8	10
JB_CZ_29	-698444.72	-964714.37	319.84	5.6
JB_CZ_30	-698508.16	-964747.58	319.24	8
JB_CZ_31	-698525.89	-964813.25	319.01	12
JB_CZ_32	-698481.76	-964826.7	320.14	9.4
JB_CZ_33	-698405.25	-964628.58	328.78	6
JB_CZ_34	-698304.7	-964664.18	329.09	8
JB_CZ_35	-698383.32	-964708.23	335.21	6
JB_CZ_36	-698637.36	-964425.58	317.14	6
JB_CZ_37	-698673.35	-964603.13	316.65	17
JB_CZ_38	-698654.68	-964737.2	315.95	12
JB_CZ_39	-698762.36	-964705.9	316.85	16
JB_CZ_40	-698580.7	-964748.81	319.49	10
JB_CZ_41	-698789.77	-964732.75	320.7	16.8
JB_CZ_42	-698672.12	-964724.42	333.7	9
JB_CZ_43	-698721	-964846.4	325.1	15.7
JB_CZ_44	-698781.5	-964706.5	333.3	13.1
JB_CZ_11	-697846.4	-965238.38	295.42	4.5
JB_CZ_45	-697863.78	-962820.15	301.33	5
JB_CZ_46	-697522.33	-962954.23	320.21	4
JB_CZ_47	-697209.62	-963299.3	332.59	8.5
JB_CZ_48	-697653.3	-963505.52	304.99	20.5
JB_CZ_49	-697501.5	-963052.07	324.08	5.5
JB_CZ_50	-697345.54	-963317.19	332.9	9
JB_CZ_51	-697285.09	-963071.59	339.08	4
JB_CZ_52	-697412.18	-963472.09	316.02	23
JB_CZ_53	-697775.1	-963421.55	306.33	23.5
JB_CZ_54	-697799.69	-963491.2	297.93	9
JB_CZ_55	-697695.66	-963580.83	299.37	10.5
JB_CZ_56	-697552.24	-963695.36	301.58	14.5
JB_CZ_57	-697312.26	-963192.49	338.91	12.5
JB_CZ_58	-697842.67	-963929.98	306.94	15
JB_CZ_59	-697701.93	-962856.37	307.09	8
JB_CZ_60	-697835.13	-963260.35	311.2	15.8
JB_CZ_61	-701951.88	-961419.9	259.63	7.4
JB_CZ_62	-696017.19	-966117.84	328.42	12
JB_CZ_63	-695946.03	-965946.43	347.49	23
JB_CZ_64	-695897.96	-966027.41	335.33	12
JB_CZ_65	-695744.75	-965843.45	360.02	22
JB_CZ_66	-695641.82	-965917.51	348.5	26
JB_CZ_67	-695417.21	-965705.86	363.4	10
JB_CZ_68	-696134.97	-966136.96	322.86	23
JB_CZ_69	-695663.69	-965796.93	360.16	24
JB_CZ_70	-695821.21	-965880.87	353.66	20
JB_CZ_71	-696038.35	-965889.01	334.9	20
JB_CZ_72	-695853.31	-965709.54	351.08	20
JB_CZ_73	-695650.78	-965625.11	365.55	5
JB_CZ_74	-697372.54	-965285.99	335.75	12
JB_CZ_75	-697499.84	-964839.97	331.16	11
JB_CZ_76	-697224.1	-965376.24	323.73	22
