ID_GDO_Well_Name	TOP_MD_hloubka_m	BASE_MD_hloubka_m	Horizon_index	Horizon_nazev	Autor_interpretace	GIS_X	GIS_Y
F_69293	0	23.5	Q	Q	Jan Bohadlo	-697707.5	-963137
F_69293	23.5	25.5	Sx	Sx	Jan Bohadlo	-697707.5	-963137
F_69294	0	16.1	Q	Q	Jan Bohadlo	-697988.9	-963294.2
F_69294	16.1	18	Sx	Sx	Jan Bohadlo	-697988.9	-963294.2
F_69295	0	19.8	Q	Q	Jan Bohadlo	-697707.5	-963002.8
F_69295	19.8	24	TPw	TPw	Jan Bohadlo	-697707.5	-963002.8
F_69297	0	8.2	Q	Q	Jan Bohadlo	-699126.65	-966446.2
F_69297	8.2	10.8	Sx	Sx	Jan Bohadlo	-699126.65	-966446.2
F_69299	0	42	Q	Q	Jan Bohadlo	-698260	-963770
F_69299	42	45	Sx	Sx	Jan Bohadlo	-698260	-963770
F_69300	0	7.8	Q	Q	Jan Bohadlo	-702446.21	-962880.82
F_69300	7.8	8.8	TNg	TNg	Jan Bohadlo	-702446.21	-962880.82
F_69300	8.8	10.8	TCb3	TCb3	Jan Bohadlo	-702446.21	-962880.82
F_69301	0	9.1	Q	Q	Jan Bohadlo	-702641.54	-962289.64
F_69301	9.1	14.7	TCb3	TCb3	Jan Bohadlo	-702641.54	-962289.64
F_69301	14.7	15.3	TNd	TNd	Jan Bohadlo	-702641.54	-962289.64
F_69302	0	68.8	Q	Q	Jan Bohadlo	-697997.8	-961651.3
F_69302	68.8	72.9	TNw	TNw	Jan Bohadlo	-697997.8	-961651.3
F_69303	0	16	Q	Q	Jan Bohadlo	-698397	-961126
F_69303	16	30	TNw	TNw	Jan Bohadlo	-698397	-961126
F_69304	0	28	Q	Q	Jan Bohadlo	-697325.9	-961057.7
F_69304	28	29	TB	TB	Jan Bohadlo	-697325.9	-961057.7
F_69304	29	31	TPw	TPw	Jan Bohadlo	-697325.9	-961057.7
F_69304	31	33	TB	TB	Jan Bohadlo	-697325.9	-961057.7
F_69304	33	40	TPw	TPw	Jan Bohadlo	-697325.9	-961057.7
F_69305	0	19.5	Q	Q	Jan Bohadlo	-697793	-962428
F_69305	19.5	20.2	TPw	TPw	Jan Bohadlo	-697793	-962428
F_69306	0	2.8	Q	Q	Jan Bohadlo	-698228.6	-963172.6
F_69306	2.8	10	TPw	TPw	Jan Bohadlo	-698228.6	-963172.6
F_69307	0	11.2	Q	Q	Jan Bohadlo	-698567.7	-964667
F_69307	11.2	12	TPw	TPw	Jan Bohadlo	-698567.7	-964667
F_69308	0	6	Q	Q	Jan Bohadlo	-698450.1	-964993.8
F_69308	6	7	TPw	TPw	Jan Bohadlo	-698450.1	-964993.8
F_69309	0	3.4	Q	Q	Jan Bohadlo	-698402.4	-964919.3
F_69309	3.4	5	Sx	Sx	Jan Bohadlo	-698402.4	-964919.3
F_69310	0	8.6	Q	Q	Jan Bohadlo	-698357	-964862.5
F_69310	8.6	9	Sx	Sx	Jan Bohadlo	-698357	-964862.5
F_69311	0	11.2	Q	Q	Jan Bohadlo	-698617.6	-964505.2
F_69311	11.2	12	TPw	TPw	Jan Bohadlo	-698617.6	-964505.2
F_69312	0	2.1	Q	Q	Jan Bohadlo	-698800.5	-964774
F_69312	2.1	6	TPw	TPw	Jan Bohadlo	-698800.5	-964774
F_69317	0	1.2	Q	Q	Jan Bohadlo	-699585.4	-964557.1
F_69317	1.2	22.7	Sx	Sx	Jan Bohadlo	-699585.4	-964557.1
F_69318	0	0.5	Q	Q	Jan Bohadlo	-692334	-964508.3
F_69318	0.5	28.5	TPw	TPw	Jan Bohadlo	-692334	-964508.3
F_69319	0	3	Q	Q	Jan Bohadlo	-699001.3	-964717.5
F_69319	3	31	TPw	TPw	Jan Bohadlo	-699001.3	-964717.5
F_69320	0	2.2	Q	Q	Jan Bohadlo	-699182.7	-964796.1
F_69320	2.2	17.8	TPw	TPw	Jan Bohadlo	-699182.7	-964796.1
F_69320	17.8	32	TB	TB	Jan Bohadlo	-699182.7	-964796.1
F_69322	0	9	Q	Q	Jan Bohadlo	-701070	-962960
F_69331	0	2.6	Q	Q	Jan Bohadlo	-701480	-962420
F_69332	0	2.7	Q	Q	Jan Bohadlo	-701475	-962460
F_69344	0	7	Q	Q	Jan Bohadlo	-701832.4	-962633.6
F_69344	7	8	TNw	TNw	Jan Bohadlo	-701832.4	-962633.6
F_69345	0	6.3	Q	Q	Jan Bohadlo	-701849.1	-962637.9
F_69345	6.3	8	TNw	TNw	Jan Bohadlo	-701849.1	-962637.9
F_69346	0	5.9	Q	Q	Jan Bohadlo	-701848.5	-962616.4
F_69346	5.9	8	TNw	TNw	Jan Bohadlo	-701848.5	-962616.4
F_69347	0	7.3	Q	Q	Jan Bohadlo	-701835.5	-962612.1
F_69347	7.3	8	TNw	TNw	Jan Bohadlo	-701835.5	-962612.1
F_69348	0	6.8	Q	Q	Jan Bohadlo	-701746.6	-962662.5
F_69348	6.8	7	TNw	TNw	Jan Bohadlo	-701746.6	-962662.5
F_69349	0	6.8	Q	Q	Jan Bohadlo	-701748.3	-962653.2
F_69349	6.8	7	TNw	TNw	Jan Bohadlo	-701748.3	-962653.2
F_69350	0	6.7	Q	Q	Jan Bohadlo	-701743.4	-962652
F_69350	6.7	7	TNw	TNw	Jan Bohadlo	-701743.4	-962652
F_69351	0	11.5	Q	Q	Jan Bohadlo	-702562.3	-962015.9
F_69351	11.5	18.9	TNg	TNg	Jan Bohadlo	-702562.3	-962015.9
F_69351	18.9	40.2	TCb3	TCb3	Jan Bohadlo	-702562.3	-962015.9
F_69352	0	11.2	Q	Q	Jan Bohadlo	-702522.44	-962291.07
F_69352	11.2	35.7	TCb3	TCb3	Jan Bohadlo	-702522.44	-962291.07
F_69353	0	7.2	Q	Q	Jan Bohadlo	-702751.02	-962290.27
F_69353	7.2	35.6	TCb3	TCb3	Jan Bohadlo	-702751.02	-962290.27
F_69354	0	7.1	Q	Q	Jan Bohadlo	-702797	-961918.6
F_69354	7.1	15.9	TNg	TNg	Jan Bohadlo	-702797	-961918.6
F_69354	15.9	27.9	TCb3	TCb3	Jan Bohadlo	-702797	-961918.6
F_69354	27.9	29.6	TNd	TNd	Jan Bohadlo	-702797	-961918.6
F_69355	0	9.9	Q	Q	Jan Bohadlo	-702958.8	-961595.3
F_69355	9.9	15.7	TNg	TNg	Jan Bohadlo	-702958.8	-961595.3
F_69355	15.7	44.8	TCb3	TCb3	Jan Bohadlo	-702958.8	-961595.3
F_69355	44.8	45.1	TNd	TNd	Jan Bohadlo	-702958.8	-961595.3
F_69356	0	8.1	Q	Q	Jan Bohadlo	-702839.1	-961671.25
F_69356	8.1	35.3	TCb3	TCb3	Jan Bohadlo	-702839.1	-961671.25
F_69356	35.3	36.1	TNd	TNd	Jan Bohadlo	-702839.1	-961671.25
F_69357	0	10.2	Q	Q	Jan Bohadlo	-702832.6	-961710.4
F_69357	10.2	13.2	TNg	TNg	Jan Bohadlo	-702832.6	-961710.4
F_69357	13.2	31.3	TCb3	TCb3	Jan Bohadlo	-702832.6	-961710.4
F_69357	31.3	36.1	TNd	TNd	Jan Bohadlo	-702832.6	-961710.4
F_69358	0	7.2	Q	Q	Jan Bohadlo	-702926.4	-961717.7
F_69358	7.2	11.5	TNg	TNg	Jan Bohadlo	-702926.4	-961717.7
F_69358	11.5	17.4	TCb3	TCb3	Jan Bohadlo	-702926.4	-961717.7
F_69389	0	3.7	Q	Q	Jan Bohadlo	-702163.3	-962658.4
F_69389	3.7	14	TNg	TNg	Jan Bohadlo	-702163.3	-962658.4
F_69389	14	16	TCb3	TCb3	Jan Bohadlo	-702163.3	-962658.4
F_69389	16	26.8	TNd	TNd	Jan Bohadlo	-702163.3	-962658.4
F_69389	26.8	32.1	TCb2	TCb2	Jan Bohadlo	-702163.3	-962658.4
F_69389	32.1	215.5	TMw	TMw	Jan Bohadlo	-702163.3	-962658.4
F_69389	215.5	220.3	TB	TB	Jan Bohadlo	-702163.3	-962658.4
F_69389	220.3	233.3	TMw	TMw	Jan Bohadlo	-702163.3	-962658.4
F_69389	233.3	239.35	TCb1	TCb1	Jan Bohadlo	-702163.3	-962658.4
F_69389	239.35	257.3	TPw	TPw	Jan Bohadlo	-702163.3	-962658.4
F_69389	257.3	257.8	TB	TB	Jan Bohadlo	-702163.3	-962658.4
F_69389	257.8	265.7	TPw	TPw	Jan Bohadlo	-702163.3	-962658.4
F_69389	265.7	267.3	TB	TB	Jan Bohadlo	-702163.3	-962658.4
